,Date,State,Confirmed,Deceased,Recovered,State_Name
6909,25-Mar-20,CT,2,0,0,Chhattisgarh
6910,25-Mar-20,DD,0,0,0,Daman and Diu
6911,25-Mar-20,DL,5,0,0,Delhi
6912,25-Mar-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
6913,25-Mar-20,GA,3,0,0,Goa
6914,25-Mar-20,GJ,4,0,0,Gujarat
6915,25-Mar-20,HP,0,0,0,Himachal Pradesh
6916,25-Mar-20,HR,1,0,0,Haryana
6917,25-Mar-20,JH,0,0,0,Jharkhand
6918,25-Mar-20,JK,5,0,1,Jammu and Kashmir
6919,25-Mar-20,KA,10,0,0,Karnataka
6920,25-Mar-20,KL,9,0,0,Kerala
6921,25-Mar-20,LA,0,0,0,Ladakh
6922,25-Mar-20,LD,0,0,0,Lakshadweep
6923,25-Mar-20,MH,15,0,1,Maharashtra
6924,25-Mar-20,ML,0,0,0,Meghalaya
6925,25-Mar-20,MN,0,0,0,Manipur
6926,25-Mar-20,MP,8,1,0,Madhya Pradesh
6927,25-Mar-20,MZ,1,0,0,Mizoram
6928,25-Mar-20,NL,0,0,0,Nagaland
6929,25-Mar-20,OR,0,0,0,Odisha
6930,25-Mar-20,PB,2,0,0,Punjab
6931,25-Mar-20,PY,0,0,0,Puducherry
6932,25-Mar-20,RJ,6,0,0,Rajasthan
6933,25-Mar-20,SK,0,0,0,Sikkim
6934,25-Mar-20,TG,4,0,0,Telangana
6935,25-Mar-20,TN,8,0,0,Tamil Nadu
6936,25-Mar-20,TR,0,0,0,Tripura
6937,25-Mar-20,TT,90,1,3,Total
6938,25-Mar-20,UN,0,0,0,State Unassigned
6939,25-Mar-20,UP,3,0,0,Uttar Pradesh
6940,25-Mar-20,UT,1,0,0,Uttarakhand
6941,25-Mar-20,WB,0,0,0,West Bengal
6942,25-May-20,AN,0,0,0,Andaman and Nicobar Islands
6943,25-May-20,AP,106,0,51,Andhra Pradesh
6944,25-May-20,AR,0,0,0,Arunachal Pradesh
6945,25-May-20,AS,156,0,5,Assam
6946,25-May-20,BR,163,2,31,Bihar
6947,25-May-20,CH,4,0,8,Chandigarh
6948,25-May-20,CT,40,0,3,Chhattisgarh
6949,25-May-20,DD,0,0,0,Daman and Diu
6950,25-May-20,DL,635,15,231,Delhi
6951,25-May-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
6952,25-May-20,GA,1,0,3,Goa
6953,25-May-20,GJ,405,30,224,Gujarat
6954,25-May-20,HP,20,0,4,Himachal Pradesh
6955,25-May-20,HR,29,0,37,Haryana
6956,25-May-20,JH,35,0,0,Jharkhand
6957,25-May-20,JK,47,2,0,Jammu and Kashmir
6958,25-May-20,KA,93,2,51,Karnataka
6959,25-May-20,KL,49,0,12,Kerala
6960,25-May-20,LA,1,0,0,Ladakh
6961,25-May-20,LD,0,0,0,Lakshadweep
6962,25-May-20,MH,2436,60,1186,Maharashtra
6963,25-May-20,ML,1,0,0,Meghalaya
6964,25-May-20,MN,4,0,0,Manipur
6965,25-May-20,MP,194,10,163,Madhya Pradesh
6966,25-May-20,MZ,0,0,0,Mizoram
6967,25-May-20,NL,3,0,0,Nagaland
6968,25-May-20,OR,102,0,99,Odisha
6969,25-May-20,PB,21,0,15,Punjab
